Level,Name,Point ,Geometry,Parent
Region,Dar es Salaam,,,
District,Kinondoni,,,Dar es Salaam
District,Ilala,,,Dar es Salaam
District,Temeke,,,Dar es Salaam
Ward,Magomeni,,,Kinondoni
Ward,Makurumla,,,Kinondoni
Ward,Ndugumbi,,,Kinondoni
Ward,Tandale,,,Kinondoni
Ward,Mwananyamala,,,Kinondoni
Ward,Msasani,,,Kinondoni
Ward,Kinondoni,,,Kinondoni
Ward,Mzimuni,,,Kinondoni
Ward,Kigogo,,,Kinondoni
Ward,Mabibo,,,Kinondoni
Ward,Manzese,,,Kinondoni
Ward,Ubungo,,,Kinondoni
Ward,Kibamba,,,Kinondoni
Ward,Goba,,,Kinondoni
Ward,Kawe,,,Kinondoni
Ward,Kunduchi,,,Kinondoni
Ward,Mbweni,,,Kinondoni
Ward,Bunju,,,Kinondoni
Ward,Makuburi,,,Kinondoni
Ward,Mburahati,,,Kinondoni
Ward,Makumbusho,,,Kinondoni
Ward,Sinza,,,Kinondoni
Ward,Kijitonyama,,,Kinondoni
Ward,Kimara,,,Kinondoni
Ward,Mikocheni,,,Kinondoni
Ward,Mbezi,,,Kinondoni
Ward,Hananasifu,,,Kinondoni
Ward,Saranga,,,Kinondoni
Ward,Kwembe,,,Kinondoni
Ward,Msigani,,,Kinondoni
Ward,Mbezi Juu,,,Kinondoni
Ward,Makongo,,,Kinondoni
Ward,Mabwepande,,,Kinondoni
Ward,Wazo,,,Kinondoni
Ward,Ukonga,,,Ilala
Ward,Pugu,,,Ilala
Ward,Msongola,,,Ilala
Ward,Tabata,,,Ilala
Ward,Kinyerezi,,,Ilala
Ward,Ilala,,,Ilala
Ward,Mchikichini,,,Ilala
Ward,Vingunguti,,,Ilala
Ward,Kipawa,,,Ilala
Ward,Buguruni,,,Ilala
Ward,Kariakoo,,,Ilala
Ward,Jangwani,,,Ilala
Ward,Gerezani,,,Ilala
Ward,Kisutu,,,Ilala
Ward,Mchafukoge,,,Ilala
Ward,Upanga Mashariki,,,Ilala
Ward,Upanga Magharibi,,,Ilala
Ward,Kivukoni,,,Ilala
Ward,Kiwalani,,,Ilala
Ward,Segerea,,,Ilala
Ward,Kitunda,,,Ilala
Ward,Chanika,,,Ilala
Ward,Kivule,,,Ilala
Ward,Gongolamboto,,,Ilala
Ward,Majohe,,,Ilala
Ward,Kimanga,,,Ilala
Ward,Kigamboni,,,Temeke
Ward,Vijibweni,,,Temeke
Ward,Kibada,,,Temeke
Ward,Kisarawe II,,,Temeke
Ward,Somangila,,,Temeke
Ward,Kimbiji,,,Temeke
Ward,Mbagala,,,Temeke
Ward,Chamazi,,,Temeke
Ward,Yombo Vituka,,,Temeke
Ward,Charambe,,,Temeke
Ward,Toangoma,,,Temeke
Ward,Miburani,,,Temeke
Ward,Temeke,,,Temeke
Ward,Mtoni,,,Temeke
Ward,Keko,,,Temeke
Ward,Kurasini,,,Temeke
Ward,Azimio,,,Temeke
Ward,Tandika,,,Temeke
Ward,Sandali,,,Temeke
Ward,Chang'ombe,,,Temeke
Ward,Mbagala Kuu,,,Temeke
Ward,Makangarawe,,,Temeke
Ward,Pemba Mnazi,,,Temeke
Ward,Mjimwema,,,Temeke
Ward,Tungi,,,Temeke
Ward,Kijichi,,,Temeke
Ward,Mianzini,,,Temeke
Ward,Kiburugwa,,,Temeke
Ward,Buza,,,Temeke
Ward,Kilakala,,,Temeke
