Name,Abbreviation,Email,Mobile
Dar es Salaam Multi-Agency Emergency Response Team,DarMAERT,darmaert@darmaert.go.tz,255754000004
Dar es Salaam Regional Commissioner’s Office,RC,rc@darmaert.go.tz,255754000005
Tanzania Police Force,TPF,tpf@darmaert.go.tz,255754000006
Tanzania Fire and Rescue Force,TFRF,tfrf@darmaert.go.tz,255754000007
Tanzania People’s Defense Force,TPDF,tpdf@darmaert.go.tz,255754000008
Tanzania Red Cross Society,TRCS,trcs@darmaert.go.tz,255754000009
Tanzania National Roads Agency,TANROADS,tanroads@darmaert.go.tz,255754000012
Tanzania Electric Supply Company,TANESCO,tanesco@darmaert.go.tz,255754000013
Tanzania Meteorological Agency,TMA,tma@darmaert.go.tz,255754000016
Dar es Salaam Water and Sewerage Authority,DAWASA,dawasa@darmaert.go.tz,255754000014
Tanzania Scouts Association,TSA,tsa@darmaert.go.tz,255754000018
