Function,Name,Description,Code
Direction and Control,Issuing operational guidelines to respond to emergencies that are consistent with the applicable legal framework,,DC0001
Direction and Control,Convening DarMAERT to assess the emergency,,DC0002
Direction and Control,Providing overall direction and coordination of emergency response operations,,DC0003
Direction and Control,Activating the Emergency Operations Center when required (fully or partially),,DC0004
Direction and Control,Declaring a regional emergency when deemed necessary,,DC0005
Direction and Control,Working with the Regional Disaster Management Committee to request national assistance from Prime Minister’s Office when required,,DC0006
Direction and Control,Terminating the response operations when appropriate,,DC0007
Communication and Warning,Receiving information on emergency situations from different sources,,CW0001
Communication and Warning,Organizing the use of available communication systems during the emergency,,CW0002
Communication and Warning,Activating backup or alternative communication systems,,CW0003
Communication and Warning,Maintaining communications log of messages in and out of the Emergency Operations Centre,,CW0004
Communication and Warning,Recording of the event and data keeping,,CW0005
Communication and Warning,Alerting key regional officials and other non-governmental actors on potential emergency situations,,CW0006
Communication and Warning,"Disseminating warning information to the public through available communication means, such as public announcements, sirens, radio and television",,CW0007
Communication and Warning,Disseminating the official released warning instructions to the public through a network of volunteers.,,CW0008
Communication and Warning,Disseminating the official released warning instructions to the public through available communication means.,,CW0009
Communication and Warning,Issuing weather forecasts and warnings for weather related hazards rests,,CW0010
Communication and Warning,Issuing warnings for health-related risks,,CW0011
Communication and Warning,Receiving information on emergency situations from different sources.,,CW0012
Communication and Warning,Recording of the event and data keeping.,,CW0013
Communication and Warning,Disseminating the official released warning information and instructions to the public through a network of volunteers.,,CW0014
Communication and Warning,Providing equipment and personnel for supporting the dissemination of warnings to the public.,,CW0015
Communication and Warning,Broadcasting the official released warning and emergency information and instructions to the public.,,CW0016
Communication and Warning,Relaying officially released information to their customers through bulk messages.,,CW0017
Evacuation,"Releasing evacuation information to the public, emphasizing on the need to evacuate.",,CW0018
Evacuation,Developing the evacuation plan with primary and alternative evacuation routes on map and activation of such a plan.,,EV0001
Evacuation,Estimating the number of people to be evacuated and identifying means to transport them.,,EV0002
Evacuation,Identifying potential challenges (e.g. narrow bridges) of using the selected routes.,,EV0003
Evacuation,Estimating the time needed to accomplish the evacuation.,,EV0004
Evacuation,Informing the public about the need to evacuate.,,EV0005
Evacuation,Providing traffic control and keeping evacuation routes open and secure.,,EV0006
Evacuation,Issuing evacuation order and instructions,,EV0007
Evacuation,"Releasing evacuation information to the public, emphasizing on the need to evacuate",,EV0008
Evacuation,Providing transport of evacuees to the reception sites,,EV0009
Evacuation,"Evacuating patients from affected hospitals, health centers and dispensaries.",,EV0010
Evacuation,Developing the evacuation plan with primary and alternative evacuation routes on map and activation of such a plan.,,EV0011
Evacuation,"Releasing evacuation information to the public, emphasizing on the need to evacuate.",,EV0012
Evacuation,Estimating the number of people to be evacuated and identifying means to transport them.,,EV0013
Evacuation,"Assisting in evacuating the most vulnerable groups of the population, such as the elder, children, pregnant women and people with disabilities.",,EV0014
Evacuation,Providing traffic control and keeping evacuation routes open and secure.,,EV0015
