Name,Description,Code
Direction and Control,"Directing and controlling of all emergency response activities in Dar es Salaam Region, including making sure that the response is governed by the applicable legal framework, and efforts and resources are well coordinated and implemented.",DC
Communication and Warning,"Ensuring a rapid and reliable communication of official information for effective disaster response operations. Official information to be issued relates to the causes, effects, potential hazards and actionto be taken to prevent death, injury or damage to property.",CW
Evacuation,"Releasing of order for evacuation, controlling evacuation operations from the EOC, and moving people from the emergency area to a safer place through identified routes, and provision of return instructions.",EV
Firefighting,"Managing of firefighting operations, including preventing, detecting and controlling/extinguishing fire at the disaster scene.",FF
Law Enforcement,"Securing the incident area, maintaining public safety and order crime prevention, ensuring access to justice; and traffic and crowd control.",LE
Health and Medical Services,"Providing treatment, stabilization and caring for those injured at the scene and transferring them to health facilities, as well as appropriate transport of medical staff, resources and equipment.",HMS
Search and Rescue,"Searching and rescuing of people trapped (by fire, wreckage or debris), lost or at risk.",SR
Shelter and Mass Care,"Constructing temporary shelter and facilities in case of an evacuation, including their use and management. Likewise, it also entails family reunification and provision of health and medical services, emergency relief materials, food and psychosocial support.",SMC
Emergency Public Information,"Timely releasing and disseminating official information to the public with regards to the disaster incident, including handling of its information enquiries.",EPI
Damage Assessment,"Determining the magnitude of the disaster, potential associated risks and preparation of situation reports.",DA
Public Works and Engineering,"Organization of resources to repair and restore essential public facilities and services (roads/streets, solid waste management, sanitary sewer and waste water treatment), removal of debris, inspection of damaged structures, and provision of engineering solutions to manage the disaster situation.",PWE
Utilities,"Restoring gas, clean water and wastewater services and their infrastructure in the affected areas. It also involves employing alternative measures to provide these services in times of an emergency. ",UT
Resources Management and Supply,"Managing of resources (financial, material and human), inventory and prompt allocation of them as needed. It implies facilitation of logistics for relief supplies, including their procurement, transport, storage, distribution and inventory.",RMS
Transportation,"Transporting people and resources to, from and within the affected area, as well as the internal mobility of the city. It also entails enabling the ground, marine and aerial transport that is required.",TR
Dead-Bodies Management,"Managing of dead, including their identification, investigation on the reasons for the death and burial of bodies that could not be identified or pose a health risk. This also includes installation and management of mortuaries.",DBM
